Rank,Company Name,Country,"Revenues
($millions)","Profits
($millions)","Assets
($millions)","Market Value 
As of 3/29/18 ($m)"
1,ICBC,China,"$165,300.00","$43,700.00","$4,210,900.00","$311,000.00"
2,China Construction Bank,China,"$143,200.00","$37,200.00","$3,631,600.00","$261,200.00"
3,JPMorgan Chase,United States,"$118,200.00","$26,500.00","$2,609,800.00","$387,700.00"
4,Berkshire Hathaway,United States,"$235,200.00","$39,700.00","$702,700.00","$491,900.00"
5,Agricultural Bank of China,China,"$129,300.00","$29,600.00","$3,439,300.00","$184,100.00"
6,Bank of America,United States,"$103,000.00","$20,300.00","$2,328,500.00","$313,500.00"
7,Wells Fargo,United States,"$102,100.00","$21,700.00","$1,915,400.00","$265,300.00"
8,Apple,United States,"$247,500.00","$53,300.00","$367,500.00","$926,900.00"
9,Bank of China,China,"$118,200.00","$26,400.00","$3,204,200.00","$158,600.00"
10,Ping An Insurance Group,China,"$141,600.00","$13,900.00","$1,066,400.00","$181,400.00"
11,Royal Dutch Shell,Netherlands,"$321,800.00","$15,200.00","$410,700.00","$306,500.00"
12,Toyota Motor,Japan,"$265,200.00","$22,500.00","$473,000.00","$200,700.00"
13,ExxonMobil,United States,"$230,100.00","$20,400.00","$348,800.00","$344,100.00"
14,Samsung Electronics,South Korea,"$224,600.00","$41,000.00","$293,200.00","$325,900.00"
15,AT&T,United States,"$159,200.00","$30,600.00","$446,300.00","$198,300.00"
16,Volkswagen Group,Germany,"$272,000.00","$13,100.00","$531,400.00","$101,400.00"
17,HSBC Holdings,United Kingdom,"$63,200.00","$10,800.00","$2,652,100.00","$200,300.00"
18,Verizon Communications,United States,"$128,000.00","$31,200.00","$264,500.00","$200,900.00"
19,BNP Paribas,France,"$117,800.00","$8,500.00","$2,353,900.00","$93,600.00"
20,Microsoft,United States,"$103,300.00","$14,200.00","$245,500.00","$750,600.00"
21,Chevron,United States,"$139,400.00","$10,200.00","$256,400.00","$248,100.00"
22,Allianz,Germany,"$122,500.00","$7,700.00","$1,128,600.00","$100,400.00"
23,Alphabet,United States,"$117,900.00","$16,600.00","$206,900.00","$766,400.00"
24,Walmart,United States,"$500,300.00","$9,900.00","$204,500.00","$246,200.00"
25,China Mobile,Hong Kong,"$109,500.00","$16,900.00","$233,700.00","$192,600.00"
26,Total,France,"$155,800.00","$8,400.00","$257,000.00","$168,000.00"
27,Sinopec,China,"$326,600.00","$8,000.00","$249,900.00","$138,600.00"
28,UnitedHealth Group,United States,"$207,600.00","$11,200.00","$155,600.00","$229,000.00"
29,Daimler,Germany,"$193,200.00","$11,800.00","$323,200.00","$85,700.00"
30,PetroChina,China,"$282,400.00","$4,100.00","$381,100.00","$220,200.00"
31,Banco Santander,Spain,"$56,100.00","$8,000.00","$1,769,100.00","$106,300.00"
32,China Merchants Bank,China,"$49,900.00","$11,000.00","$993,700.00","$112,400.00"
33,AXA Group,France,"$149,900.00","$6,700.00","$1,029,100.00","$64,100.00"
34,Comcast,United States,"$86,900.00","$23,300.00","$190,900.00","$146,800.00"
35,China Life Insurance,China,"$97,100.00","$6,000.00","$474,200.00","$104,100.00"
36,BP,United Kingdom,"$251,900.00","$4,300.00","$275,300.00","$152,600.00"
37,Mitsubishi UFJ Financial,Japan,"$51,800.00","$8,900.00","$2,774,200.00","$86,200.00"
38,Bank of Communications,China,"$59,100.00","$10,700.00","$1,472,900.00","$66,600.00"
39,Softbank,Japan,"$82,600.00","$9,200.00","$293,200.00","$84,900.00"
40,BMW Group,Germany,"$114,400.00","$10,200.00","$241,300.00","$72,300.00"
41,Anheuser-Busch InBev,Belgium,"$56,400.00","$7,900.00","$248,600.00","$184,300.00"
42,Royal Bank of Canada,Canada,"$40,500.00","$8,800.00","$1,040,300.00","$113,400.00"
43,Gazprom,Russia,"$112,200.00","$12,200.00","$316,800.00","$57,800.00"
44,Pfizer,United States,"$52,700.00","$21,700.00","$164,600.00","$207,700.00"
45,Itaú Unibanco Holding,Brazil,"$62,300.00","$7,500.00","$437,600.00","$87,000.00"
46,Nippon Telegraph & Tel,Japan,"$104,800.00","$7,700.00","$191,100.00","$96,100.00"
47,Sberbank,Russia,"$46,300.00","$13,400.00","$470,900.00","$86,300.00"
48,Nestle,Switzerland,"$91,200.00","$7,300.00","$133,800.00","$237,300.00"
49,Intel,United States,"$64,000.00","$11,100.00","$128,600.00","$254,800.00"
50,Morgan Stanley,United States,"$45,600.00","$6,900.00","$858,500.00","$97,700.00"
51,Siemens,Germany,"$94,500.00","$7,100.00","$163,400.00","$112,500.00"
52,Boeing,United States,"$95,800.00","$9,200.00","$113,500.00","$199,500.00"
53,Amazon.com,United States,"$193,200.00","$3,900.00","$126,400.00","$777,800.00"
54,TD Bank Group,Canada,"$35,700.00","$7,900.00","$1,028,100.00","$107,800.00"
55,Procter & Gamble,United States,"$66,400.00","$10,100.00","$124,400.00","$184,500.00"
56,ING Group,Netherlands,"$56,600.00","$5,500.00","$1,016,100.00","$62,200.00"
57,Postal Savings Bank Of China,China,"$56,100.00","$7,600.00","$1,466,600.00","$55,300.00"
58,Honda Motor,Japan,"$138,600.00","$9,600.00","$181,900.00","$58,900.00"
59,Sumitomo Mitsui Financial,Japan,"$49,100.00","$7,200.00","$1,847,700.00","$58,300.00"
60,Goldman Sachs Group,United States,"$43,700.00","$4,900.00","$973,500.00","$91,800.00"
61,Intesa Sanpaolo,Italy,"$42,500.00","$8,300.00","$956,900.00","$63,100.00"
62,Industrial Bank,China,"$48,000.00","$8,800.00","$1,023,100.00","$53,500.00"
63,Novartis,Switzerland,"$50,300.00","$8,100.00","$135,500.00","$203,000.00"
