Rank,Company Name,Country,"Sales
($millions)","Profits
($millions)","Assets
($millions)","Market Value 
As of 4/18/19 ($m)"
1,ICBC,China,"$175,900.00","$45,200.00","$4,034,500.00","$305,100.00"
2,JPMorgan Chase,United States,"$132,900.00","$32,700.00","$2,737,200.00","$368,500.00"
3,China Construction Bank,China,"$150,300.00","$38,800.00","$3,382,400.00","$225,000.00"
4,Agricultural Bank of China,China,"$137,500.00","$30,900.00","$3,293,100.00","$197,000.00"
5,Bank of America,United States,"$111,900.00","$28,500.00","$2,377,200.00","$287,300.00"
6,Apple,United States,"$261,700.00","$59,400.00","$373,700.00","$961,300.00"
7,Ping An Insurance Group,China,"$151,800.00","$16,300.00","$1,038,300.00","$220,200.00"
8,Bank of China,China,"$126,700.00","$27,500.00","$3,097,600.00","$143,000.00"
9,Royal Dutch Shell,Netherlands,"$382,600.00","$23,300.00","$399,200.00","$264,900.00"
10,Wells Fargo,United States,"$101,500.00","$23,100.00","$1,887,800.00","$214,700.00"
11,ExxonMobil,United States,"$279,200.00","$20,800.00","$346,200.00","$343,400.00"
12,AT&T,United States,"$170,800.00","$19,400.00","$531,900.00","$233,300.00"
13,Samsung Electronics,South Korea,"$221,500.00","$39,900.00","$304,100.00","$272,400.00"
14,Citigroup,United States,"$100,000.00","$17,900.00","$1,958,400.00","$161,100.00"
15,Toyota Motor,Japan,"$272,100.00","$17,200.00","$465,600.00","$176,600.00"
16,Microsoft,United States,"$118,200.00","$33,500.00","$258,900.00","$946,500.00"
17,Alphabet,United States,"$137,000.00","$30,700.00","$232,800.00","$863,200.00"
18,Volkswagen Group,Germany,"$278,200.00","$14,000.00","$553,500.00","$92,000.00"
19,Chevron,United States,"$158,700.00","$14,800.00","$253,900.00","$228,300.00"
20,Verizon Communications,United States,"$130,900.00","$15,500.00","$264,800.00","$239,700.00"
21,HSBC Holdings,United Kingdom,"$64,300.00","$13,700.00","$2,558,100.00","$175,500.00"
22,PetroChina,China,"$322,800.00","$8,000.00","$354,300.00","$198,700.00"
23,Allianz,Germany,"$118,800.00","$8,800.00","$1,060,200.00","$102,300.00"
24,BP,United Kingdom,"$299,100.00","$9,300.00","$282,200.00","$149,500.00"
25,Total,France,"$184,200.00","$11,400.00","$256,800.00","$149,500.00"
26,Berkshire Hathaway,United States,"$247,800.00","$4,000.00","$707,800.00","$516,400.00"
27,China Mobile,Hong Kong,"$111,800.00","$17,900.00","$223,700.00","$197,600.00"
