"","Rank","Company.Name","Country","Revenues...millions.","Profits...millions.","Assets...millions.","Market.Value..As.of.3.29.18...m."
"1",1,"ICBC","China","$165,300.00",43700,4210900,311000
"2",2,"China Construction Bank","China","$143,200.00",37200,3631600,261200
"3",3,"JPMorgan Chase","United States","$118,200.00",26500,2609800,387700
"4",4,"Berkshire Hathaway","United States","$235,200.00",39700,702700,491900
"5",5,"Agricultural Bank of China","China","$129,300.00",29600,3439300,184100
"6",6,"Bank of America","United States","$103,000.00",20300,2328500,313500
"7",7,"Wells Fargo","United States","$102,100.00",21700,1915400,265300
"8",8,"Apple","United States","$247,500.00",53300,367500,926900
"9",9,"Bank of China","China","$118,200.00",26400,3204200,158600
"10",10,"Ping An Insurance Group","China","$141,600.00",13900,1066400,181400
"11",11,"Royal Dutch Shell","Netherlands","$321,800.00",15200,410700,306500
"12",12,"Toyota Motor","Japan","$265,200.00",22500,473000,200700
"13",13,"ExxonMobil","United States","$230,100.00",20400,348800,344100
"14",14,"Samsung Electronics","South Korea","$224,600.00",41000,293200,325900
"15",15,"AT&T","United States","$159,200.00",30600,446300,198300
"16",16,"Volkswagen Group","Germany","$272,000.00",13100,531400,101400
"17",17,"HSBC Holdings","United Kingdom","$63,200.00",10800,2652100,200300
"18",18,"Verizon Communications","United States","$128,000.00",31200,264500,200900
"19",19,"BNP Paribas","France","$117,800.00",8500,2353900,93600
"20",20,"Microsoft","United States","$103,300.00",14200,245500,750600
"21",21,"Chevron","United States","$139,400.00",10200,256400,248100
"22",22,"Allianz","Germany","$122,500.00",7700,1128600,100400
"23",23,"Alphabet","United States","$117,900.00",16600,206900,766400
"24",24,"Walmart","United States","$500,300.00",9900,204500,246200
"25",25,"China Mobile","Hong Kong","$109,500.00",16900,233700,192600
"26",26,"Total","France","$155,800.00",8400,257000,168000
"27",27,"Sinopec","China","$326,600.00",8000,249900,138600
"28",28,"UnitedHealth Group","United States","$207,600.00",11200,155600,229000
"29",29,"Daimler","Germany","$193,200.00",11800,323200,85700
"30",30,"PetroChina","China","$282,400.00",4100,381100,220200
"31",31,"Banco Santander","Spain","$56,100.00",8000,1769100,106300
"32",32,"China Merchants Bank","China","$49,900.00",11000,993700,112400
"33",33,"AXA Group","France","$149,900.00",6700,1029100,64100
"34",34,"Comcast","United States","$86,900.00",23300,190900,146800
"35",35,"China Life Insurance","China","$97,100.00",6000,474200,104100
"36",36,"BP","United Kingdom","$251,900.00",4300,275300,152600
"37",37,"Mitsubishi UFJ Financial","Japan","$51,800.00",8900,2774200,86200
"38",38,"Bank of Communications","China","$59,100.00",10700,1472900,66600
"39",39,"Softbank","Japan","$82,600.00",9200,293200,84900
"40",40,"BMW Group","Germany","$114,400.00",10200,241300,72300
"41",41,"Anheuser-Busch InBev","Belgium","$56,400.00",7900,248600,184300
"42",42,"Royal Bank of Canada","Canada","$40,500.00",8800,1040300,113400
"43",43,"Gazprom","Russia","$112,200.00",12200,316800,57800
"44",44,"Pfizer","United States","$52,700.00",21700,164600,207700
"45",45,"Itaú Unibanco Holding","Brazil","$62,300.00",7500,437600,87000
"46",46,"Nippon Telegraph & Tel","Japan","$104,800.00",7700,191100,96100
"47",47,"Sberbank","Russia","$46,300.00",13400,470900,86300
"48",48,"Nestle","Switzerland","$91,200.00",7300,133800,237300
"49",49,"Intel","United States","$64,000.00",11100,128600,254800
"50",50,"Morgan Stanley","United States","$45,600.00",6900,858500,97700
"51",51,"Siemens","Germany","$94,500.00",7100,163400,112500
"52",52,"Boeing","United States","$95,800.00",9200,113500,199500
"53",53,"Amazon.com","United States","$193,200.00",3900,126400,777800
"54",54,"TD Bank Group","Canada","$35,700.00",7900,1028100,107800
"55",55,"Procter & Gamble","United States","$66,400.00",10100,124400,184500
"56",56,"ING Group","Netherlands","$56,600.00",5500,1016100,62200
"57",57,"Postal Savings Bank Of China","China","$56,100.00",7600,1466600,55300
"58",58,"Honda Motor","Japan","$138,600.00",9600,181900,58900
"59",59,"Sumitomo Mitsui Financial","Japan","$49,100.00",7200,1847700,58300
"60",60,"Goldman Sachs Group","United States","$43,700.00",4900,973500,91800
"61",61,"Intesa Sanpaolo","Italy","$42,500.00",8300,956900,63100
"62",62,"Industrial Bank","China","$48,000.00",8800,1023100,53500
"63",63,"Novartis","Switzerland","$50,300.00",8100,135500,203000
"64",64,"Glencore International","Switzerland","$205,400.00",5800,135600,75500
"65",65,"Banco Bradesco","Brazil","$76,500.00",4700,370500,61300
"66",66,"Prudential","United Kingdom","$111,500.00",3100,655100,67800
"67",67,"Ford Motor","United States","$159,600.00",7800,267200,44600
"68",68,"IBM","United States","$80,100.00",5700,125300,132300
"69",69,"CVS Health","United States","$185,900.00",6600,135100,65500
"70",70,"Shanghai Pudong Development","China","$48,300.00",8200,974800,50700
"71",71,"Commonwealth Bank","Australia","$33,000.00",7600,752400,93500
"72",72,"Walt Disney","United States","$56,800.00",11500,97900,152100
"73",73,"Prudential Financial","United States","$61,100.00",7800,829700,42000
"74",74,"Rosneft","Russia","$94,800.00",3900,214200,69000
"75",75,"Enel","Italy","$86,700.00",4600,193600,61600
"76",76,"Citic Pacific","Hong Kong","$57,800.00",5600,962100,44400
"77",77,"Facebook","United States","$44,600.00",17800,88900,541500
"78",78,"MetLife","United States","$64,100.00",4400,712600,47500
"79",79,"Deutsche Telekom","Germany","$84,500.00",3900,179100,80800
"80",80,"SAIC Motor","China","$136,600.00",5400,118400,63800
"81",81,"Alibaba","China","$37,900.00",9600,114000,499400
"82",82,"BASF","Germany","$75,100.00",7100,98900,95300
"83",83,"Reliance Industries","India","$60,800.00",5600,125200,93100
"84",84,"China State Construction Engineering","China","$162,300.00",5100,257600,40400
"85",85,"China Citic Bank","China","$43,600.00",6500,894000,46500
"86",86,"Sony","Japan","$77,100.00",4400,179300,59900
"87",87,"Westpac Banking Group","Australia","$29,400.00",6400,668800,76200
"88",88,"Bank of Nova Scotia","Canada","$28,800.00",6500,752500,75000
