"","Rank","Company.Name","Country","Sales...millions.","Profits...millions.","Assets...millions.","Market.Value..As.of.4.18.19...m."
"1",1,"ICBC","China",175900,45200,4034500,305100
"2",2,"JPMorgan Chase","United States",132900,32700,2737200,368500
"3",3,"China Construction Bank","China",150300,38800,3382400,225000
"4",4,"Agricultural Bank of China","China",137500,30900,3293100,197000
"5",5,"Bank of America","United States",111900,28500,2377200,287300
"6",6,"Apple","United States",261700,59400,373700,961300
"7",7,"Ping An Insurance Group","China",151800,16300,1038300,220200
"8",8,"Bank of China","China",126700,27500,3097600,143000
"9",9,"Royal Dutch Shell","Netherlands",382600,23300,399200,264900
"10",10,"Wells Fargo","United States",101500,23100,1887800,214700
"11",11,"ExxonMobil","United States",279200,20800,346200,343400
"12",12,"AT&T","United States",170800,19400,531900,233300
"13",13,"Samsung Electronics","South Korea",221500,39900,304100,272400
"14",14,"Citigroup","United States",1e+05,17900,1958400,161100
"15",15,"Toyota Motor","Japan",272100,17200,465600,176600
"16",16,"Microsoft","United States",118200,33500,258900,946500
"17",17,"Alphabet","United States",137000,30700,232800,863200
"18",18,"Volkswagen Group","Germany",278200,14000,553500,92000
"19",19,"Chevron","United States",158700,14800,253900,228300
"20",20,"Verizon Communications","United States",130900,15500,264800,239700
"21",21,"HSBC Holdings","United Kingdom",64300,13700,2558100,175500
"22",22,"PetroChina","China",322800,8000,354300,198700
"23",23,"Allianz","Germany",118800,8800,1060200,102300
"24",24,"BP","United Kingdom",299100,9300,282200,149500
"25",25,"Total","France",184200,11400,256800,149500
"26",26,"Berkshire Hathaway","United States",247800,4000,707800,516400
"27",27,"China Mobile","Hong Kong",111800,17900,223700,197600
"28",28,"Amazon","United States",232900,10100,162600,916100
"29",29,"Walmart","United States",514400,6700,219300,296100
"30",30,"Santander","Spain",89500,9200,1668200,84100
"31",31,"China Merchants Bank","China",54900,12300,982500,130400
"32",32,"UnitedHealth Group","United States",231400,12600,161200,212800
"33",33,"Comcast","United States",94500,11700,251700,192000
"34",34,"BNP Paribas","France",101600,8400,2333000,68700
"35",35,"Sinopec","China",399700,9500,233000,105600
"36",36,"Softbank","Japan",86200,13900,332300,112400
"37",37,"Daimler","Germany",197400,8600,321900,71300
"38",38,"Johnson & Johnson","United States",81600,14700,153000,366200
"39",39,"Bank of Communications","China",64800,11200,1388200,63600
"40",40,"Gazprom","Russia",128400,18900,305900,59900
"41",41,"RBC","Canada",46300,9600,1040300,114900
"42",42,"Nestlé","Switzerland",93400,10400,139000,281300
"43",43,"Mitsubishi UFJ Financial","Japan",53700,9000,2799900,65000
"44",44,"Intel","United States",70800,21100,128000,263100
"45",45,"Goldman Sachs Group","United States",51000,9900,925000,75500
"46",46,"TD Bank Group","Canada",42500,8700,1007000,103800
"47",47,"Sberbank","Russia",51600,13300,449700,78500
"48",48,"Morgan Stanley","United States",50900,8500,876000,80200
"49",49,"Boeing","United States",101100,10500,117400,214500
"50",50,"Petrobras","Brazil",95700,7100,222000,91200
"51",51,"Nippon Telegraph & Tel","Japan",107500,8700,199600,80200
